# NIRWizard 0.1.7 — subject GLM nuisance-regressor coefficients (descriptive)
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# regressors: drift_r1_1, drift_r1_2, drift_r1_3, drift_r1_4, drift_r1_5, drift_r1_6, drift_r1_7, drift_r1_8, drift_r1_9, drift_r2_1, drift_r2_2, drift_r2_3, drift_r2_4, drift_r2_5, drift_r2_6, drift_r2_7, drift_r3_1, drift_r3_2, drift_r3_3, drift_r3_4, drift_r3_5, drift_r3_6, drift_r3_7, drift_r3_8, drift_r4_1, drift_r4_2, drift_r4_3, drift_r4_4, drift_r4_5, drift_r4_6, drift_r4_7, run_2, run_3, run_4, intercept
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,signal,regressor,beta,se
S2-D1,HbO,drift_r1_7,-2.834849e0,2.446720e0
S2-D1,HbO,drift_r1_8,1.047995e0,2.418447e0
S2-D1,HbO,drift_r1_9,-2.407031e0,2.377094e0
S2-D1,HbO,drift_r2_1,-4.107500e-1,2.514127e0
S2-D1,HbO,drift_r2_2,-4.748130e-1,2.510958e0
S2-D1,HbO,drift_r2_3,-1.591940e0,2.483251e0
S2-D1,HbO,drift_r2_4,-5.801104e-1,2.455166e0
S2-D1,HbO,drift_r2_5,-1.716080e0,2.424794e0
S2-D1,HbO,drift_r2_6,-2.225451e0,2.387160e0
S2-D1,HbO,drift_r2_7,-3.191649e0,2.347724e0
S2-D1,HbO,drift_r3_1,1.541305e0,2.533163e0
S2-D1,HbO,drift_r3_2,-4.034567e-1,2.548524e0
S2-D1,HbO,drift_r3_3,1.622415e0,2.499249e0
S2-D1,HbO,drift_r3_4,1.716855e0,2.507623e0
S2-D1,HbO,drift_r3_5,-5.365580e-1,2.445664e0
S2-D1,HbO,drift_r3_6,3.323500e-2,2.421615e0
S2-D1,HbO,drift_r3_7,-1.556501e0,2.374711e0
S2-D1,HbO,drift_r3_8,-1.232345e0,2.331418e0
S2-D1,HbO,drift_r4_1,-3.128647e0,2.514769e0
S2-D1,HbO,drift_r4_2,-3.356096e0,2.524957e0
S2-D1,HbO,drift_r4_3,-1.917942e0,2.485131e0
S2-D1,HbO,drift_r4_4,-5.192688e0,2.458517e0
S2-D1,HbO,drift_r4_5,-7.783325e-1,2.429306e0
S2-D1,HbO,drift_r4_6,-4.077757e0,2.389223e0
S2-D1,HbO,drift_r4_7,-3.422933e0,2.358481e0
S2-D1,HbO,run_2,-9.399862e-2,5.047756e-2
S2-D1,HbO,run_3,-7.338493e-2,5.475570e-2
S2-D1,HbO,run_4,-6.569000e-2,5.487869e-2
S2-D1,HbO,intercept,-1.697663e-1,3.653669e-2
S2-D1,HbR,drift_r1_1,1.084669e0,3.285981e-1
S2-D1,HbR,drift_r1_2,1.149687e-1,3.244374e-1
S2-D1,HbR,drift_r1_3,4.637539e-2,3.193510e-1
S2-D1,HbR,drift_r1_4,1.443631e-1,3.175211e-1
S2-D1,HbR,drift_r1_5,-2.905040e-1,3.188291e-1
S2-D1,HbR,drift_r1_6,-2.137278e-1,3.146361e-1
S2-D1,HbR,drift_r1_7,7.467550e-1,3.133406e-1
S2-D1,HbR,drift_r1_8,-4.900106e-1,3.120187e-1
S2-D1,HbR,drift_r1_9,4.414580e-1,3.088170e-1
S2-D1,HbR,drift_r2_1,3.154751e-1,3.148140e-1
S2-D1,HbR,drift_r2_2,8.453807e-1,3.156864e-1
S2-D1,HbR,drift_r2_3,4.993629e-1,3.128591e-1
S2-D1,HbR,drift_r2_4,7.214340e-1,3.111825e-1
S2-D1,HbR,drift_r2_5,2.386423e-1,3.090870e-1
S2-D1,HbR,drift_r2_6,6.642570e-1,3.067965e-1
S2-D1,HbR,drift_r2_7,1.079526e-1,3.042013e-1
S2-D1,HbR,drift_r3_1,1.368524e0,3.173457e-1
S2-D1,HbR,drift_r3_2,4.517628e-1,3.202600e-1
S2-D1,HbR,drift_r3_3,8.581997e-1,3.148302e-1
S2-D1,HbR,drift_r3_4,-2.499254e-1,3.178769e-1
S2-D1,HbR,drift_r3_5,4.376629e-1,3.115875e-1
S2-D1,HbR,drift_r3_6,-9.967096e-2,3.108062e-1
S2-D1,HbR,drift_r3_7,6.716407e-1,3.073634e-1
S2-D1,HbR,drift_r3_8,-6.202480e-1,3.043906e-1
S2-D1,HbR,drift_r4_1,-2.541392e-1,3.148261e-1
S2-D1,HbR,drift_r4_2,-4.023446e-1,3.176623e-1
S2-D1,HbR,drift_r4_3,-2.614614e-1,3.129755e-1
S2-D1,HbR,drift_r4_4,1.157964e0,3.114683e-1
S2-D1,HbR,drift_r4_5,1.582347e-1,3.094548e-1
S2-D1,HbR,drift_r4_6,-1.030904e0,3.067507e-1
S2-D1,HbR,drift_r4_7,2.474302e-1,3.053105e-1
S2-D1,HbR,run_2,-5.428220e-3,6.296924e-3
S2-D1,HbR,run_3,-1.340514e-2,6.932848e-3
S2-D1,HbR,run_4,6.250170e-3,6.950868e-3
S2-D1,HbR,intercept,-1.075194e-2,4.617460e-3
S2-D4,HbO,drift_r1_1,2.297774e0,1.290408e0
S2-D4,HbO,drift_r1_2,5.322017e-1,1.269793e0
S2-D4,HbO,drift_r1_3,-7.876748e-1,1.242200e0
