# NIRWizard 0.1.7 — subject GLM channel statistics
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# solver=AR-IRLS; inferential: p = 2·tcdf(−|t|, dfe); q = Benjamini-Hochberg FDR per condition × chromophore, across channels; hrf=Canonical; fs=10.0000Hz; n_channels=47
# conditions: QUIET, NOISE
# beta unit: μM (from Parameters.Conversion)
# dfe = 21392.000000 (n − p, per fit)
# runs: 4 (concatenated session); 3 run-intercept columns (run_2, run_3, run_4); drift per-run; AR whitening pooled
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,source,detector,separation_mm,signal,effect_type,effect,beta,se,t,dfe,p,q,ar_order,status
S11-D9,11,9,36.872287,HbO,condition,NOISE,8.245946e-2,1.390645e-2,5.929583,21392.000000,0.000000,0.000000,24,good
S11-D9,11,9,36.872287,HbR,condition,QUIET,-1.725755e-2,4.254007e-3,-4.056776,21392.000000,0.000050,0.000124,23,good
S11-D9,11,9,36.872287,HbR,condition,NOISE,-1.333626e-2,4.283349e-3,-3.113512,21392.000000,0.001851,0.003625,23,good
S11-D10,11,10,36.969207,HbO,condition,QUIET,9.826797e-2,2.108552e-2,4.660449,21392.000000,0.000003,0.000004,24,good
S11-D10,11,10,36.969207,HbO,condition,NOISE,-1.776179e-2,2.124010e-2,-0.836239,21392.000000,0.403030,0.411792,24,good
S11-D10,11,10,36.969207,HbR,condition,QUIET,-3.736072e-4,6.250498e-3,-0.059772,21392.000000,0.952337,0.973040,19,good
S11-D10,11,10,36.969207,HbR,condition,NOISE,6.496974e-4,6.306445e-3,0.103021,21392.000000,0.917947,0.937903,19,good
S12-D7,12,7,33.670150,HbO,condition,QUIET,1.699871e-1,2.605627e-2,6.523848,21392.000000,0.000000,0.000000,24,good
S12-D7,12,7,33.670150,HbO,condition,NOISE,1.666820e-1,2.636024e-2,6.323234,21392.000000,0.000000,0.000000,24,good
S12-D7,12,7,33.670150,HbR,condition,QUIET,7.101294e-3,5.561848e-3,1.276787,21392.000000,0.201691,0.270843,20,good
S12-D7,12,7,33.670150,HbR,condition,NOISE,-3.983856e-4,5.600923e-3,-0.071129,21392.000000,0.943296,0.943296,20,good
S12-D10,12,10,36.969633,HbO,condition,QUIET,1.321398e-1,1.865462e-2,7.083490,21392.000000,0.000000,0.000000,25,good
S12-D10,12,10,36.969633,HbO,condition,NOISE,1.345034e-1,1.882279e-2,7.145778,21392.000000,0.000000,0.000000,25,good
S12-D10,12,10,36.969633,HbR,condition,QUIET,1.508291e-2,5.932246e-3,2.542529,21392.000000,0.011012,0.019907,21,good
